,0,1
0,0.0,Asset1Asset2
1,0.0,Asset1Asset3
2,0.0,Asset1Asset4
3,0.0,Asset1Asset5
4,0.0,Asset1Asset6
5,0.0,Asset1Asset7
6,0.0,Asset1Asset8
7,0.0,Asset1Asset9
8,0.0,Asset1Asset10
9,0.0,Asset1Asset11
10,0.0,Asset1Asset12
11,0.0,Asset1Asset13
12,0.0,Asset1Asset14
13,0.0,Asset1Asset15
14,0.0,Asset1Asset16
15,0.0,Asset1Asset17
16,0.0,Asset1Asset18
17,0.0,Asset1Asset19
18,0.0,Asset1Asset20
19,0.0,Asset1Asset21
20,0.0,Asset1Asset22
21,0.0,Asset1Asset23
22,0.0,Asset1Asset24
23,0.0,Asset1Asset25
24,0.0,Asset1Asset26
25,0.0,Asset1Asset27
26,5.849825142382967e-17,Asset2Asset1
27,2.0174010488465905e-16,Asset2Asset3
28,1.5585487758637585e-17,Asset2Asset4
29,7.196759244702825e-17,Asset2Asset5
30,9.13142764005367e-17,Asset2Asset6
31,2.1433159756898774e-17,Asset2Asset7
32,1.7184176427894287e-17,Asset2Asset8
33,8.678321522887042e-18,Asset2Asset9
34,3.6582965541050646e-17,Asset2Asset10
35,4.536828580444868e-17,Asset2Asset11
36,7.597106295587544e-18,Asset2Asset12
37,8.903206247773364e-17,Asset2Asset13
38,4.5104215387973066e-17,Asset2Asset14
39,2.8125871589294064e-16,Asset2Asset15
40,1.9916807477152034e-17,Asset2Asset16
41,1.0140929525662376e-17,Asset2Asset17
42,5.661027701604828e-17,Asset2Asset18
43,2.437181041792762e-17,Asset2Asset19
44,3.293305154194991e-17,Asset2Asset20
45,3.516802309111713e-17,Asset2Asset21
46,1.3705367215952752e-16,Asset2Asset22
47,1.1197907079541764e-17,Asset2Asset23
48,1.2481125858214936e-17,Asset2Asset24
49,1.1510810204554244e-17,Asset2Asset25
50,1.4154456456996167e-16,Asset2Asset26
51,8.992834992762052e-16,Asset2Asset27
52,0.0,Asset3Asset1
53,2.090581853463336e-25,Asset3Asset2
54,2.1068667417231886e-26,Asset3Asset4
55,1.2505565590348074e-27,Asset3Asset5
56,3.5750839035146916e-27,Asset3Asset6
57,0.0,Asset3Asset7
58,0.0,Asset3Asset8
59,2.8960836738712566e-26,Asset3Asset9
60,1.242612249665049e-27,Asset3Asset10
61,1.8438505317272575e-26,Asset3Asset11
62,9.978533925089896e-27,Asset3Asset12
63,0.0,Asset3Asset13
64,8.545273950927923e-28,Asset3Asset14
65,1.674429298031231e-27,Asset3Asset15
66,6.2054547939284156e-27,Asset3Asset16
67,0.0,Asset3Asset17
68,7.764547595936451e-27,Asset3Asset18
69,0.0,Asset3Asset19
70,5.35785328609955e-28,Asset3Asset20
71,7.704059378359755e-28,Asset3Asset21
72,1.3964294619767486e-26,Asset3Asset22
