,0,1
0,0.0,Asset1Asset2
1,0.0,Asset1Asset3
2,0.0,Asset1Asset4
3,0.0,Asset1Asset5
4,0.0,Asset1Asset6
5,0.0,Asset1Asset7
6,0.0,Asset1Asset8
7,0.0,Asset1Asset9
8,0.0,Asset1Asset10
9,0.0,Asset1Asset11
10,0.0,Asset1Asset12
11,0.0,Asset1Asset13
12,0.0,Asset1Asset14
13,0.0,Asset1Asset15
14,0.0,Asset1Asset16
15,0.0,Asset1Asset17
16,0.0,Asset1Asset18
17,0.0,Asset1Asset19
18,0.0,Asset1Asset20
19,0.0,Asset1Asset21
20,0.0,Asset1Asset22
21,0.0,Asset1Asset23
22,0.0,Asset1Asset24
23,0.0,Asset1Asset25
24,0.0,Asset1Asset26
25,0.0,Asset1Asset27
26,7.557462168647399e-06,Asset2Asset1
27,8.190946235551622e-06,Asset2Asset3
28,7.2003992943955024e-06,Asset2Asset4
29,8.226784457340165e-06,Asset2Asset5
30,8.96679815879691e-06,Asset2Asset6
31,7.866987659118326e-06,Asset2Asset7
32,6.6049735826977954e-06,Asset2Asset8
33,7.08832336219552e-06,Asset2Asset9
34,6.505155240226324e-06,Asset2Asset10
35,7.5980475229653196e-06,Asset2Asset11
36,7.243636270269917e-06,Asset2Asset12
37,7.278700191869369e-06,Asset2Asset13
38,7.3325881612619446e-06,Asset2Asset14
39,7.421100388165089e-06,Asset2Asset15
40,7.2003992943955024e-06,Asset2Asset16
41,8.032062554983832e-06,Asset2Asset17
42,6.937837578237247e-06,Asset2Asset18
43,7.115089337857896e-06,Asset2Asset19
44,7.1594904301824425e-06,Asset2Asset20
45,7.573333298194376e-06,Asset2Asset21
46,7.336050487348585e-06,Asset2Asset22
47,7.035521121136161e-06,Asset2Asset23
48,6.594785137375102e-06,Asset2Asset24
49,6.914609788923113e-06,Asset2Asset25
50,6.452901209347499e-06,Asset2Asset26
51,7.481311439650796e-06,Asset2Asset27
52,1.2809812160549506e-22,Asset3Asset1
53,1.3575342414156744e-21,Asset3Asset2
54,1.4545689532648688e-21,Asset3Asset4
55,5.4790253922018715e-22,Asset3Asset5
56,9.862697268878792e-22,Asset3Asset6
57,6.85116758996531e-22,Asset3Asset7
58,5.872749883315219e-22,Asset3Asset8
59,1.45443600031653e-21,Asset3Asset9
60,3.4287297890674955e-22,Asset3Asset10
61,4.044575062802963e-22,Asset3Asset11
62,7.027694340529921e-22,Asset3Asset12
63,1.8296337864486313e-21,Asset3Asset13
64,1.4015416549795114e-22,Asset3Asset14
65,7.280361716977565e-22,Asset3Asset15
66,1.4545689532648688e-21,Asset3Asset16
67,2.229666473165367e-22,Asset3Asset17
68,3.235154327009931e-22,Asset3Asset18
69,1.65216000028432e-21,Asset3Asset19
70,1.7922558951878695e-21,Asset3Asset20
71,5.767546062594538e-22,Asset3Asset21
